GSM506015 GSM506016 GSM506017 GSM506018 GSM506021 GSM506022 GSM506013 GSM506014 GSM506019
1007_s_at 11.3912915767524 11.0195822628954 10.7827540926142 11.2926981841337 11.0691559134984 11.2314635515622 11.3544895390442 11.3717743580517 11.1690107495643
1053_at 5.33748818811755 5.33748818811755 5.37423948340405 5.32519392110521 5.54907789598361 5.30087674906923 5.23534928339873 5.44822165205032 5.62986383824333
117_at 7.87875762684059 7.0686144346611 7.26400030158151 7.2130211568426 8.1161572911097 7.29211916555537 6.98385448543528 6.95179126011883 7.03005168856826
121_at 9.7600875610146 9.83772778232685 9.78738365384229 9.79400245501846 9.69579052339973 9.71645134115985 9.9671486054066 9.81977899481095 9.66313706413641
1255_g_at 4.69590542108306 4.75857821886598 4.93521562340904 4.73526885767723 4.80521356612201 4.762583289786 4.7540951269027 4.80083640168949 4.84355689698306
1294_at 6.66433974099711 6.59937551696852 6.73116398806019 6.84260327882642 6.77296079752115 6.86662748931269 6.73116398806019 6.64376046742329 6.69001780167552
1316_at 6.18550425941701 6.2023804147585 6.25838407681247 6.21974098318711 6.14944488647567 6.18265840322724 6.181486645158 6.17091366065207 6.11476748557656
1320_at 5.15244245323244 5.03087328739631 5.29200548855451 5.04052196607516 5.2428040319573 5.07792733076434 4.93571848649552 5.05924545891446 5.28944054028497
1405_i_at 4.69961086981386 4.80374019238862 5.19462705513532 4.79011273869847 5.03409987815371 4.62258937032105 4.75196401897132 4.7830618825032 4.91798274921785
1431_at 4.45959293903157 4.44700404459576 4.52454943596727 4.40028447034238 4.59630500261317 4.50506748204308 4.47849367290476 4.45316147546895 4.44856621290652
1438_at 6.64581105738254 6.83600411215177 7.15461402794015 6.67860342601784 6.7591986582473 6.79391634166903 6.75579841345433 6.81710760293649 6.93928836962669
1487_at 8.24555634302877 8.05217769708023 8.01204255304648 7.98455890139175 8.03275316011774 7.96186787251232 8.02350539022187 8.13414464988884 8.08115804287482
1494_f_at 7.02159750903294 7.36865208928873 7.72149887998018 7.29110553943294 7.39416096569668 7.18777112066089 7.30613956529366 7.30613956529366 7.31726926206708
1598_g_at 9.84866188999388 9.88238523650292 9.65115493915432 9.62782625215638 9.54425351752666 9.77557402645544 9.77806204742352 9.98773881042815 9.76628293653689
160020_at 8.38099948435385 8.48869298390264 8.14221108882419 8.33548432641761 8.05940259984375 8.50255161365948 8.41499861639905 8.36519005300211 8.01324499034293
1729_at 7.82781682964328 7.6520628632157 7.71692975707843 7.77123523093022 7.76070969588311 7.76248668076309 7.59690583479089 7.74729463373837 7.72288835044004
177_at 5.98325537413696 5.68129696327904 6.0132799473696 5.83118690208349 6.24396099838588 5.95198998681084 5.83776170440091 5.74493195011592 6.17580888126634
1773_at 7.30249042475463 7.72926273095388 7.64446748178874 7.20592138766961 8.37698108114368 7.52219317400693 7.67674250482705 7.2637192329755 7.69454720618616
179_at 9.51264728628979 9.55721212002508 9.56865966519726 9.35838771955384 9.52728372324334 9.45134770599541 9.41033681017842 9.55121345217135 9.50450198699991
1861_at 6.34241634463882 6.20536429835225 6.62802148805347 6.29598902918287 6.79922814677816 6.3408510486368 6.19426712348954 6.75220912503745 7.00738213605462
200000_s_at 9.44279849492566 9.31087067262609 8.98339316827618 8.91954346018563 8.94237585511457 9.13341056984266 9.12183424890528 9.38597247769551 8.77903641809016
200001_at 10.6750052094897 10.1815033328359 10.3474167512872 10.423093659223 10.4168765093376 10.0273052614644 10.4168765093376 10.4613250226331 10.4609110679089
200002_at 10.982212927145 10.1505174506171 10.4432486815127 10.7017607242587 10.5104669240956 10.3888914201604 10.3073003738899 10.6349798827377 10.4675122185844
200003_s_at 11.8123003072484 10.7571898090583 10.73669025517 11.40461461633 11.1951413652321 10.8175840051334 10.9031328857194 11.5974902875001 11.0426855001882
200004_at 10.4479395196755 10.6897401774563 9.8239880310535 10.4698859104267 10.5214391245908 10.2191153731435 10.639883890923 10.3009968160162 10.1750308682637
200005_at 8.70378863358243 8.01599142987986 7.79378611268274 8.12140251000838 8.52663240741087 8.08506656118021 7.9043456192548 8.27652013450766 8.21152911294603
200006_at 10.9090406995722 10.6927781604384 10.8420063389753 11.1523698262033 10.9772684544756 10.8559407953762 11.1324968319125 10.9718549741457 10.98674501856
200007_at 10.5281674987267 10.8356086776851 10.0039463211339 10.4541309485619 10.3223814259273 10.2963362116235 10.5921828635922 10.3571987915697 10.3431878083003
200008_s_at 9.13271650705127 9.10864289372659 8.9795869679969 8.77506259871594 9.15607167332363 8.79709108515833 8.80379367779755 8.85340818396529 8.96585209747736
200009_at 10.057386005488 9.83085053545545 9.84785735480938 9.69899016411826 10.070833734412 9.6616798378536 9.77779583270651 9.84785735480938 9.91387210251004
200010_at 10.9463683017771 10.7056092942091 10.6469814349918 11.0080007881284 10.8204412846442 10.747629238021 10.6787455345163 10.9466637101994 10.5901684055205
200011_s_at 9.36941958192744 9.49837280173616 9.19083118971817 9.66190020161865 9.34762808742764 9.35412631564604 9.62813349813172 9.61646999835298 9.49003410834728
200012_x_at 11.6736979980087 11.4503163963042 11.6521310739175 11.9597347181341 11.954734122886 11.3628576726228 11.6043936974384 11.6636561819131 11.7561305580274
200013_at 11.3903076308682 10.8558343259822 10.6596186446769 11.0662226787102 10.8152801706842 10.5889217900627 10.7804631622972 11.177431617527 10.492325805353
200014_s_at 8.88035201156273 8.68044134844425 8.26243433973636 8.76342764805097 8.77960136758715 8.68044134844425 8.673157709967 8.77116100239962 8.62746174334403
200015_s_at 10.7865200776474 10.37343347965 10.0830554159355 11.1244846271106 10.6244303303657 10.8857338605767 10.8519136864489 10.6703198155365 10.2506555068391
200016_x_at 11.3655349075459 10.7693970491551 11.0100903046827 11.6448807113278 11.4318492824304 11.1984287174629 11.6137123684911 11.3041526890138 11.190935544734
200017_at 11.2894348328605 11.5090960951334 11.0225737609466 11.6550913690596 11.2479017688993 10.9634133776848 11.2479017688993 11.4274870468678 11.2479017688993
200018_at 12.009033273572 11.7500502400101 11.2006438615096 12.0889081792811 11.5643656973366 11.7215862447996 11.7712032963974 11.8210641964462 10.9913926908786
200019_s_at 11.7116650339787 10.9960879958865 11.1418931435007 11.3613778286756 11.1507739839861 11.2734821795821 11.2690720813071 11.6174960774887 11.1911112812539
200020_at 8.85730380090487 8.78941026072672 8.57208610935239 8.56679800273284 9.41309031073171 8.77603265833612 8.78941026072672 8.77985906937155 8.95589067025665
200021_at 12.703034832698 12.8118676141392 12.1603586557933 12.7001552614432 12.5083119046906 12.1998788184266 12.7305369123738 12.6817044159712 12.731860431033
200022_at 11.0372806812563 10.3811306256905 10.5175132969548 10.9018518370317 10.5667781280522 10.6115161014773 10.3398444184039 10.9185617680815 10.6115161014773
200023_s_at 9.88236443720217 9.03245526156825 9.02868008360778 9.41599039112374 9.24789288076385 9.37029573486712 9.35459453368022 9.8629078441356 8.90356206050251
