GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
1007_s_at 9.86538880248006 10.0040337788162 9.94457495825868 9.93775723280136 10.0928686821549 9.71216781552443 9.43092536039917 9.81293076511527 10.071763763313 10.086536246062
1053_at 3.77046383456764 3.55128314835973 3.59126739978106 3.7467931756313 3.92616563845054 3.62677206302965 3.42808324317852 3.51922955404955 3.72730239031132 3.58168540491214
117_at 4.41501297782808 4.49235055045122 4.37645415440717 4.47488107844008 4.89762234103895 4.37256519423851 4.17135814025714 4.46041785632777 4.35266509671047 4.44441703264451
121_at 7.34911781909047 7.49167158742197 7.12606703834612 7.62524796812392 7.53443315009427 7.42353719999542 7.20878198386059 7.50777861688214 7.32090603108193 7.33448549489135
1255_g_at 3.43333295341735 3.56008369847556 3.3771467194403 3.71072578169847 3.43893048489117 3.66200267873369 3.4698581102732 3.55912521363674 3.51240413288965 3.52720749278331
1294_at 5.93877210249 5.58577771425866 6.08476126653402 6.20597384302607 5.78897763201201 5.85644161988965 5.78655111472329 5.95479730085956 5.89824542040975 5.8439281075085
1316_at 5.25067947722996 4.99177752527008 4.84623466738007 5.22824819796071 5.01466632022429 5.01167615715553 4.86796909727972 4.93180598026056 5.04206022101734 5.0140019273581
1320_at 3.52999015422804 3.4559723732792 3.58820562737353 3.67086110590741 3.58764631862466 3.60905197247744 3.51923177225823 3.63913096132689 3.74765124765502 3.56214103033802
1431_at 3.08832942822268 3.18731367518109 3.01719698083376 3.34202095489125 3.12216613734751 3.12695490670146 3.09985981292372 3.21879103735087 3.11616813986898 3.14907259265508
1438_at 4.76322231791822 4.8251845121448 4.71597458631989 5.27982054158425 5.11785397212227 4.79244245074124 4.6946174948661 4.79170901934766 5.03775931218006 4.83230654492173
1487_at 6.69873219038092 6.53836288600905 6.61351165173469 6.57991562948604 6.57836698657854 6.70904368073138 6.43114634482156 6.51589390533316 6.56781793391316 6.6031659486671
