Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR	PD_Avg_Log_FC	PD_Avg_FC
7618	9323	-0.696578800129041	-1.26977050641038	-1.94824989882307	-0.830638532363755	-0.717509617556171	-1.058859056712	-0.119567215388508	0.117340075241511	0.0108569669072395	0.074663224746569	0.358534960613313	0.154389791250165	0.0285719522458416	0.960367408883952	-6.25614506766261	3.94609678266988e-10	1	43	4.08894548620253e-06	4.08894548620253e-06	-0.948739089626132	0.518085068624988
7177	7747	-0.899052139096491	-0.790440629367948	-1.31387164049464	-0.890090237616162	-0.784213140581189	-0.500275591693734	-0.416855770135196	0.0450508676980254	0.0846779161029538	0.0873879173077725	0.306473888304871	0.137622518395707	0.116909633059713	0.935062921805362	-5.999097450323	1.98417260399708e-09	1	10	2.05599965226177e-05	1.02799982613089e-05	-0.799257021283623	0.574645039827579
9189	1991	-0.861619860858633	-0.991645537750041	-1.98939585095884	-0.685734796598309	-0.824173648212456	-0.742395743511107	-0.468444773032203	0.0731673919767307	0.171595688917823	0.066071330497056	0.784429360176357	0.129294967083245	0.0888515964200466	0.929399992157675	-5.91086057524477	3.40325012615494e-09	1	79	3.52644778072175e-05	1.08470892211665e-05	-0.937630030131656	0.522089833126411
3048	3094	-1.48946940686357	NA	-1.79817244941624	-1.77985529829737	-0.994311475243057	-0.579379878495224	-0.583875456667094	0.0378705763622374	NA	0.114513337713989	0.0378084270849917	0.140001116745476	0.0847491035615084	0.929399992157675	-5.87662087488918	4.18725698558831e-09	123	27	4.33883568846661e-05	1.08470892211665e-05	-1.20417732749709	0.434016763761636
504	5718	-0.892106533067941	-1.5642067377133	-1.58818855050986	-0.416518573094278	-0.579779391986934	-0.47442875680021	NA	0.115909100864121	0.00781949049421526	0.066071330497056	0.51136317857762	0.304248248726578	0.167612044481921	NA	-5.60870528308218	2.03845809121361e-08	2	45	0.000211225027411554	4.05625768677975e-05	-0.91920475719542	0.52880042549241
5503	8523	-1.6710692235453	NA	NA	-1.49692715393924	-1.06973827505448	-1.2196082814363	NA	0.0519792566304569	NA	NA	0.178785188459761	0.176695409059409	0.0355792278431373	NA	-5.58412993863355	2.34873056559337e-08	159	133	0.000243375461206785	4.05625768677975e-05	-1.36433573349383	0.388413235171654
399	5632	-0.429675104762044	-2.58268510438181	NA	-0.732132724073077	-0.992426567154654	-0.516013826027779	NA	0.292473578323173	0.00559060789331219	NA	0.589086149168308	0.129294967083245	0.100854736429373	NA	-5.33282181037308	9.66981901218134e-08	46	63	0.00100198664604223	0.000131325401079963	-1.05058666527987	0.482771807613907
4554	5639	-0.754956717877334	-0.257736265945845	-1.73319180264497	-0.929184200262089	-0.485722346609101	-0.400739192262309	NA	0.0820281264749534	0.506794047372357	0.066071330497056	0.19049153828255	0.242025633202954	0.104347307384968	NA	-5.3224335611492	1.02388184375357e-07	2	80	0.00106094636649745	0.000131325401079963	-0.760255087600275	0.590391932368649
3712	3611	-0.895512707233565	-0.971990342745812	-2.17536871471754	-1.64647899208758	-0.82791061250934	-0.799274088601347	-0.690751465492265	0.146285346105893	0.191235030437977	0.0686499430356924	0.230583764431901	0.261845507688125	0.104347307384968	0.929399992157675	-5.30276173852513	1.14063753109406e-07	1	79	0.00118192860971967	0.000131325401079963	-1.14389813191249	0.45253518363156
5684	6334	-0.596341951072232	-1.70429028807117	-2.06646471865469	-0.890907673785813	-0.331866667576282	-0.301283577144444	-0.285108677386384	0.114150614015973	0.00529369942125902	0.0699697715432862	0.310084374950303	0.425640372290248	0.28139776767052	0.933016440633298	-5.24707602086951	1.545321455243e-07	1	44	0.0016012620919228	0.000141345231885248	-0.882323364813002	0.542493078235243
